Marital status,Course,Previous qualification,Mother's qualification,Father's qualification,Displaced,Educational special needs,Gender,Age at enrollment,International,Target
Single,Communication Design,Secondary education,Secondary education,Higher education - degree,Yes,No,Female,20,No,Graduate
Single,Tourism,Secondary education,Basic education 3rd cycle,Basic education 2nd cycle,No,No,Female,21,No,Graduate
Single,Management,Secondary education,Other 11th year schooling,Higher education - degree,Yes,No,Female,24,No,Dropout
Single,Basic Education,Secondary education,Secondary education,Secondary education,No,No,Female,21,No,Dropout
Single,Nursing,Secondary education,Basic education 2nd cycle,Basic education 2nd cycle,Yes,No,Female,18,No,Graduate
Single,Management Evening Program,Higher education - degree 1st cycle,Basic education 3rd cycle,Secondary education,Yes,No,Female,27,No,Dropout
Single,Nursing,Secondary education,Basic education 1st cycle,Basic education 1st cycle,Yes,No,Female,18,No,Graduate
Single,Computer Science,Higher education - degree,Higher education - degree,Higher education - bachelor's degree,No,No,Female,35,No,Dropout
Single,Basic Education,Secondary education,Basic education 3rd cycle,Basic education 3rd cycle,No,No,Female,18,No,Graduate
Single,Veterinary Nursing,Secondary education,Secondary education,Secondary education,Yes,No,Female,19,No,Graduate
Single,Social Service,Secondary education,Basic education 3rd cycle,Basic education 3rd cycle,Yes,No,Female,20,No,Graduate
Single,Nursing,Secondary education,Basic education 3rd cycle,Basic education 3rd cycle,Yes,No,Female,18,No,Graduate
Single,Social Service,Technological specialization course,Basic education 2nd cycle,Basic education 2nd cycle,No,No,Female,21,No,Graduate
Single,Social Service,Secondary education,Basic education 3rd cycle,Basic education 1st cycle,No,No,Female,18,No,Graduate
Single,Social Service,Secondary education,Unknown education level,Unknown education level,Yes,No,Female,18,No,Graduate
Single,Nursing,Secondary education,Basic education 3rd cycle,Basic education 2nd cycle,Yes,No,Female,18,No,Graduate
Single,Journalism and Communication,Secondary education,Higher education - degree,Basic education 3rd cycle,Yes,No,Female,18,No,Graduate
Single,Veterinary Nursing,Secondary education,Basic education 3rd cycle,Secondary education,Yes,No,Female,19,No,Graduate
Single,Tourism,Basic education 3rd cycle,Higher education - degree,Basic education 3rd cycle,No,No,Female,36,No,Dropout
Single,Nursing,Secondary education,Basic education 2nd cycle,Secondary education,Yes,No,Female,18,No,Graduate
Single,Nursing,Secondary education,Basic education 1st cycle,Basic education 1st cycle,No,No,Female,18,No,Graduate
Single,Equinculture,Secondary education,Secondary education,Higher education - degree,Yes,No,Female,20,No,Graduate
Single,Management Evening Program,Secondary education,Basic education 1st cycle,Basic education 1st cycle,No,No,Female,26,No,Dropout
Single,Journalism and Communication,Secondary education,Secondary education,Secondary education,No,No,Female,21,No,Graduate
Single,Management,Secondary education,Basic education 3rd cycle,Higher education - degree,Yes,No,Female,19,No,Graduate
Single,Social Service Evening Program,Secondary education,Basic education 3rd cycle,Basic education 1st cycle,Yes,No,Female,24,No,Dropout
Single,Social Service Evening Program,Secondary education,Secondary education,Basic education 3rd cycle,No,No,Female,27,No,Dropout
Single,Veterinary Nursing,Secondary education,Basic education 3rd cycle,Basic education 1st cycle,No,No,Female,21,No,Dropout
Single,Management,Secondary education,Basic education 2nd cycle,Basic education 2nd cycle,No,No,Female,18,No,Graduate
Married,Basic Education,Secondary education,Basic education 1st cycle,Basic education 1st cycle,No,Yes,Female,19,No,Graduate
Single,Tourism,Secondary education,Secondary education,Secondary education,Yes,No,Female,18,No,Dropout
Single,Nursing,Secondary education,Basic education 3rd cycle,Secondary education,No,No,Female,19,No,Graduate
Single,Nursing,Secondary education,Secondary education,Basic education 2nd cycle,Yes,No,Female,19,No,Graduate
Married,Management Evening Program,Higher education - master's degree 2nd cycle,Higher education - degree 1st cycle,Higher education - doctorate,No,No,Female,33,No,Graduate
Married,Management,Higher education - degree,Secondary education,Higher education - master's degree,No,No,Female,45,No,Graduate
Single,Social Service,Secondary education,Secondary education,Secondary education,No,No,Female,20,No,Graduate
Single,Advertising and Marketing Management,Secondary education,Unknown education level,Unknown education level,Yes,No,Female,28,No,Dropout
Single,Nursing,Secondary education,Secondary education,Secondary education,Yes,No,Female,19,No,Graduate
Single,Tourism,Secondary education,Secondary education,Basic education 1st cycle,Yes,No,Female,18,No,Graduate
Single,Tourism,Higher education - degree,Basic education 3rd cycle,Basic education 3rd cycle,No,No,Female,38,No,Dropout
Single,Advertising and Marketing Management,Secondary education,Secondary education,Higher education - degree,No,No,Female,19,No,Graduate
Single,Tourism,Secondary education,Secondary education,Basic education 1st cycle,No,No,Female,21,No,Graduate
Single,Management,Secondary education,Basic education 1st cycle,Secondary education,No,No,Female,21,No,Dropout
Single,Social Service,Secondary education,Basic education 2nd cycle,Basic education 1st cycle,No,No,Female,22,No,Graduate
Single,Basic Education,Secondary education,Basic education 3rd cycle,Basic education 3rd cycle,No,No,Female,18,No,Graduate
Single,Social Service,Secondary education,Basic education 1st cycle,Basic education 1st cycle,No,Yes,Female,18,No,Graduate
Single,Equinculture,Secondary education,Basic education 3rd cycle,Secondary education,Yes,No,Female,25,No,Dropout
Single,Veterinary Nursing,Basic education 3rd cycle,Basic education 3rd cycle,Basic education 3rd cycle,No,No,Female,24,No,Dropout
Single,Management,Secondary education,Basic education 1st cycle,Basic education 3rd cycle,Yes,No,Female,20,No,Graduate
Single,Management,Secondary education,Basic education 1st cycle,Secondary education,No,No,Female,25,No,Dropout
Single,Management,Secondary education,Basic education 2nd cycle,Basic education 3rd cycle,No,No,Female,20,No,Graduate
Single,Nursing,Higher education - degree,Basic education 3rd cycle,Basic education 2nd cycle,No,No,Female,23,No,Graduate
Single,Nursing,Secondary education,Basic education 3rd cycle,Basic education 1st cycle,Yes,No,Female,19,No,Graduate
Single,Agronomy,Technological specialization course,Basic education 1st cycle,Basic education 1st cycle,No,No,Female,29,No,Dropout
Single,Tourism,Secondary education,Basic education 3rd cycle,Basic education 1st cycle,Yes,No,Female,21,No,Graduate
Single,Advertising and Marketing Management,Secondary education,Basic education 3rd cycle,Secondary education,Yes,No,Female,18,No,Graduate
Single,Journalism and Communication,Secondary education,Basic education 2nd cycle,Basic education 1st cycle,Yes,No,Female,18,No,Dropout
Single,Veterinary Nursing,Secondary education,12th year of schooling not completed,Basic education 3rd cycle,No,No,Female,19,No,Graduate
Single,Management,Secondary education,Secondary education,Secondary education,No,No,Female,18,No,Graduate
Married,Oral Hygiene,Basic education 3rd cycle,Basic education 2nd cycle,Basic education 1st cycle,Yes,No,Female,37,No,Dropout
Single,Management Evening Program,Higher education - degree 1st cycle,Basic education 1st cycle,Basic education 1st cycle,No,No,Female,29,No,Graduate
Single,Social Service,Secondary education,Secondary education,Secondary education,Yes,No,Female,19,No,Graduate
Single,Social Service,Secondary education,Secondary education,Secondary education,Yes,No,Female,22,No,Dropout
Single,Tourism,Secondary education,Basic education 1st cycle,Basic education 2nd cycle,No,No,Female,20,No,Graduate
Single,Social Service Evening Program,Secondary education,Basic education 1st cycle,Basic education 1st cycle,No,No,Female,34,No,Dropout
Single,Computer Science,Secondary education,Basic education 1st cycle,Basic education 2nd cycle,No,No,Female,30,No,Dropout
Single,Social Service,Secondary education,Secondary education,Secondary education,No,No,Female,18,No,Graduate
Single,Social Service,Secondary education,Basic education 2nd cycle,Basic education 3rd cycle,No,No,Female,18,No,Graduate
Single,Journalism and Communication,Secondary education,Higher education - degree,Secondary education,Yes,No,Female,18,No,Graduate
Single,Nursing,Secondary education,Higher education - master's degree,Secondary education,Yes,No,Female,18,No,Graduate
Single,Journalism and Communication,Secondary education,Basic education 2nd cycle,Basic education 2nd cycle,Yes,No,Female,19,No,Graduate
Single,Communication Design,Secondary education,Basic education 1st cycle,Basic education 1st cycle,Yes,No,Female,19,No,Graduate
Single,Nursing,Secondary education,Secondary education,Secondary education,No,No,Female,18,No,Graduate
Single,Agronomy,Technological specialization course,Basic education 1st cycle,Basic education 2nd cycle,No,No,Female,21,No,Graduate
Single,Management,Secondary education,Secondary education,Basic education 3rd cycle,Yes,No,Female,20,No,Dropout
Single,Management,Secondary education,Other 11th year schooling,Basic education 3rd cycle,Yes,No,Female,20,No,Graduate
Single,Nursing,Secondary education,Higher education - doctorate,Secondary education,No,No,Female,19,No,Graduate
Single,Social Service,Secondary education,Secondary education,Basic education 2nd cycle,No,No,Female,20,No,Graduate
Single,Nursing,Secondary education,Other 11th year schooling,Secondary education,Yes,No,Female,18,No,Graduate
Single,Basic Education,Secondary education,Basic education 1st cycle,Basic education 2nd cycle,No,No,Female,20,No,Dropout
Married,Equinculture,Higher education - degree,Higher education - doctorate,Higher education - master's degree,No,No,Female,29,No,Dropout
Single,Nursing,Secondary education,Basic education 3rd cycle,Basic education 3rd cycle,Yes,No,Female,20,No,Graduate
Single,Management,Secondary education,Basic education 2nd cycle,Basic education 1st cycle,Yes,No,Female,22,No,Graduate
Divorced,Social Service Evening Program,Secondary education,Technological specialization course,Basic education 3rd cycle,Yes,No,Female,47,No,Graduate
Married,Management Evening Program,Secondary education,Basic education 1st cycle,Basic education 1st cycle,No,No,Female,31,No,Graduate
Single,Communication Design,Secondary education,Basic education 3rd cycle,Basic education 1st cycle,No,No,Female,21,No,Graduate
Single,Social Service Evening Program,Secondary education,Basic education 2nd cycle,Basic education 2nd cycle,No,No,Female,21,No,Graduate
Married,Journalism and Communication,Other 11th year schooling,Secondary education,Secondary education,No,No,Female,24,No,Graduate
Single,Social Service Evening Program,10th year of schooling not completed,Unknown education level,Secondary education,No,No,Female,32,No,Graduate
Single,Social Service Evening Program,Secondary education,Higher education - degree,Secondary education,Yes,No,Female,19,No,Graduate
Single,Nursing,Secondary education,Higher education - degree,Higher education - degree,Yes,No,Female,24,No,Graduate
Single,Veterinary Nursing,Secondary education,Basic education 3rd cycle,Basic education 3rd cycle,Yes,No,Female,19,No,Graduate
Single,Agronomy,Technological specialization course,Basic education 3rd cycle,Basic education 1st cycle,No,No,Female,19,No,Graduate
Single,Social Service,Secondary education,Basic education 3rd cycle,Basic education 3rd cycle,Yes,No,Female,18,No,Graduate
Single,Communication Design,Secondary education,Basic education 2nd cycle,Basic education 1st cycle,Yes,No,Female,19,No,Dropout
Married,Nursing,Secondary education,Higher education - degree,Basic education 2nd cycle,No,No,Female,19,No,Graduate
Single,Journalism and Communication,Secondary education,Basic education 3rd cycle,Basic education 2nd cycle,Yes,No,Female,18,No,Graduate
Single,Social Service,Secondary education,Secondary education,Secondary education,Yes,No,Female,18,No,Graduate
Single,Oral Hygiene,Secondary education,Secondary education,Secondary education,Yes,No,Female,20,No,Graduate
Single,Nursing,Secondary education,Basic education 3rd cycle,Basic education 2nd cycle,No,No,Female,18,No,Graduate
Single,Advertising and Marketing Management,Secondary education,Basic education 2nd cycle,Basic education 2nd cycle,Yes,No,Female,18,No,Graduate
Single,Veterinary Nursing,Secondary education,Basic education 2nd cycle,Basic education 1st cycle,Yes,No,Female,21,No,Graduate
Single,Nursing,Secondary education,Basic education 3rd cycle,Basic education 3rd cycle,No,No,Female,18,No,Graduate
Single,Advertising and Marketing Management,Secondary education,Basic education 3rd cycle,Basic education 3rd cycle,No,No,Female,18,No,Dropout
Single,Social Service,Secondary education,Secondary education,7th year old schooling,Yes,No,Female,19,No,Dropout
Single,Advertising and Marketing Management,Secondary education,Secondary education,Basic education 3rd cycle,Yes,No,Female,18,No,Graduate
Single,Equinculture,Higher education - degree,Higher education - degree,Secondary education,Yes,No,Female,34,No,Dropout
Single,Veterinary Nursing,Secondary education,7th year old schooling,7th year old schooling,No,No,Female,19,No,Graduate
